time,open,high,low,close,volume,closeTime,assetVolume,trades,buyBaseVolume,ignored
1657526400000 ,1143.37000000 ,1149.82000000 ,1141.55000000 ,1147.13000000 ,92408.54150000 ,1657533599999 ,105790181.26513900 ,101058 ,48439.41680000 ,55454971.86896700 
1657533600000 ,1147.14000000 ,1150.00000000 ,1142.00000000 ,1143.57000000 ,60150.89940000 ,1657540799999 ,68983981.75978700 ,41005 ,29027.47650000 ,33297405.18004500 
1657540800000 ,1143.56000000 ,1161.75000000 ,1130.87000000 ,1136.49000000 ,135288.44230000 ,1657547999999 ,154974739.71977900 ,81957 ,68320.63830000 ,78277358.98127700 
1657548000000 ,1136.49000000 ,1145.41000000 ,1128.56000000 ,1143.68000000 ,110814.53710000 ,1657555199999 ,126215275.45651300 ,69270 ,57300.83880000 ,65269918.77956700 
1657555200000 ,1143.67000000 ,1156.68000000 ,1139.79000000 ,1154.55000000 ,58126.44260000 ,1657562399999 ,66691707.39914600 ,80382 ,31080.92130000 ,35652680.14704500 
1657562400000 ,1154.56000000 ,1156.77000000 ,1136.34000000 ,1141.80000000 ,75382.59750000 ,1657569599999 ,86328149.18895800 ,172932 ,39503.12930000 ,45240621.96895100 
1657569600000 ,1141.80000000 ,1145.28000000 ,1118.00000000 ,1121.71000000 ,117636.78150000 ,1657576799999 ,133662616.94486700 ,135539 ,53062.56750000 ,60305984.46265400 
1657576800000 ,1121.71000000 ,1121.80000000 ,1091.71000000 ,1096.40000000 ,152415.35440000 ,1657583999999 ,168152591.05554800 ,99945 ,77769.77790000 ,85800207.75142500 
1657584000000 ,1096.37000000 ,1098.26000000 ,1083.48000000 ,1091.13000000 ,92768.01860000 ,1657591199999 ,101213508.25064400 ,78374 ,44135.99460000 ,48149888.55561800 
1657591200000 ,1091.13000000 ,1094.32000000 ,1081.55000000 ,1086.15000000 ,82935.31740000 ,1657598399999 ,90242617.74334600 ,53548 ,40349.67510000 ,43901587.65669600 
1657598400000 ,1086.15000000 ,1093.38000000 ,1085.06000000 ,1087.03000000 ,42904.53440000 ,1657605599999 ,46750349.02194400 ,55012 ,21549.38290000 ,23482683.41360500 
1657605600000 ,1087.02000000 ,1087.34000000 ,1062.71000000 ,1069.07000000 ,119973.41610000 ,1657612799999 ,128820147.37136200 ,105771 ,56235.43410000 ,60358122.48341000 
1657612800000 ,1069.07000000 ,1070.71000000 ,1053.76000000 ,1054.59000000 ,136624.59740000 ,1657619999999 ,145253961.83739000 ,79567 ,65831.74930000 ,70002357.78076200 
1657620000000 ,1054.58000000 ,1072.77000000 ,1054.42000000 ,1065.83000000 ,76839.15550000 ,1657627199999 ,81709574.36080300 ,71676 ,38726.74570000 ,41173927.22662800 
1657627200000 ,1065.83000000 ,1082.40000000 ,1065.39000000 ,1067.72000000 ,127273.50550000 ,1657634399999 ,136646698.78979300 ,97246 ,65248.35690000 ,70057067.85418300 
1657634400000 ,1067.72000000 ,1083.49000000 ,1061.78000000 ,1075.89000000 ,128448.88190000 ,1657641599999 ,137965786.45643800 ,103856 ,63178.08240000 ,67859231.93467600 
1657641600000 ,1075.89000000 ,1088.83000000 ,1073.29000000 ,1076.32000000 ,124385.96850000 ,1657648799999 ,134452452.03967900 ,207185 ,63030.92970000 ,68128049.76754800 
